City,Country,Home Office Room Rent (EUR),Accommodation Availability (Score),Income Tax, incl. Social Contributions (),Internet Speed & Capacity (Score),Remote Working Infrastructure (Score),Safety, Freedom & Rights (Score),Gender Equality (Score),LGBT+ Equality (Score),Minority Equality (Score),Covid-19 Vaccination Rate (),Cost of Living (Score),Healthcare (Score),Culture & Leisure (Score),Weather (Score),Pollution - Air, Light, Noise (Score),TOTAL
Melbourne,Australia,681.00,72.16,27.32,79.40,91.80,98.10,99.78,96.27,97.78,11.51,81.84,97.74,93.75,83.49,93.79,100
Dubai,UAE,890.00,65.69,0.00,76.70,69.10,90.80,50.00,50.00,74.04,45.09,79.40,76.40,70.92,64.58,82.61,96.64
Sydney,Australia,767.00,75.90,27.32,82.00,91.80,98.10,99.78,96.16,97.78,11.51,73.31,98.16,79.65,85.29,96.17,92.62
Tallinn,Estonia,394.00,81.25,20.00,85.00,70.00,96.50,99.39,94.41,96.78,31.28,92.61,85.00,54.32,74.84,99.21,88.11
London,UK,1281.00,75.24,29.86,79.50,98.40,97.40,99.35,99.14,97.78,52.79,65.91,95.81,100.00,81.97,89.42,87.18
Tokyo,Japan,914.00,50.00,30.74,79.60,89.10,96.90,91.61,88.57,97.78,9.90,81.88,97.87,94.89,80.54,84.68,86.81
Singapore,Singapore,1475.00,86.30,16.63,85.90,95.60,95.80,94.67,81.99,92.98,37.54,73.07,96.09,72.55,65.68,89.31,85.5
Glasgow,UK,564.00,90.12,32.30,77.40,98.40,97.40,99.35,97.63,97.78,52.79,88.65,97.16,80.48,74.84,97.78,84.74
Montreal,Canada,526.00,81.51,31.61,77.10,92.10,98.80,98.98,98.32,98.12,39.04,87.75,96.70,80.76,74.28,95.84,84.07
Berlin,Germany,757.00,73.18,39.98,86.60,90.40,98.40,97.79,99.64,95.64,37.02,84.05,93.00,84.39,82.15,90.49,82.88
Prague,Czechia,338.00,94.42,30.30,80.00,62.00,94.80,96.40,92.56,95.64,31.42,89.71,87.24,66.00,82.02,92.38,82.61
Toronto,Canada,769.00,81.10,26.99,83.90,92.10,98.80,98.98,97.15,98.12,39.04,77.97,98.26,74.53,77.61,95.46,82.41
Chicago,USA,704.00,75.56,27.50,80.80,81.30,96.40,98.59,95.95,95.57,50.04,76.06,90.76,81.82,78.29,91.81,82.32
Hong Kong,Hong Kong,1395.00,71.40,14.68,91.40,69.70,96.40,95.18,87.25,96.78,19.78,68.44,80.86,69.41,77.20,81.24,81.26
Lisbon,Portugal,602.00,84.46,43.81,81.40,74.20,96.50,98.81,97.42,97.78,33.68,87.35,90.86,79.58,83.98,88.83,81.16
Cape Town,South Africa,430.00,70.50,17.75,69.90,64.80,89.50,96.40,93.90,95.08,0.95,90.80,65.26,78.19,91.45,88.19,80.93
Edinburgh,UK,686.00,92.43,32.30,79.60,98.40,97.40,99.35,97.51,97.78,52.79,83.76,96.81,73.11,78.04,99.13,80.72
Vienna,Austria,675.00,69.41,24.88,79.70,90.30,98.30,98.65,97.83,95.64,35.32,85.46,91.96,64.57,82.12,94.24,80.11
Los Angeles,USA,1389.00,68.71,29.66,84.90,93.20,96.40,98.67,97.61,95.57,52.82,69.12,90.22,82.10,91.19,89.78,79.88
New York,USA,1512.00,71.32,28.32,88.10,96.60,96.40,98.96,97.06,95.57,54.15,58.29,90.20,85.50,78.92,94.59,79.4
